Fecha aplicación,Año,Cod_Territorio,Nom_Territorio,Cantidad_dosis_aplicadas,fecha_corte
2021-03-05,2021,99,Vichada,42,2022-02-01
2021-03-06,2021,91,Amazonas,2455,2022-02-01
2021-03-06,2021,5,Antioquia,2621,2022-02-01
2021-03-06,2021,81,Arauca,52,2022-02-01
2021-03-06,2021,8,Atlántico,589,2022-02-01
2021-03-06,2021,8001,Barranquilla,2207,2022-02-01
2021-03-06,2021,11,Bogotá,2226,2022-02-01
2021-03-06,2021,13,Bolívar,432,2022-02-01
2021-03-06,2021,13001,Cartagena,71,2022-02-01
2021-03-06,2021,15,Boyacá,442,2022-02-01
2021-03-06,2021,17,Caldas,257,2022-02-01
2021-03-06,2021,18,Caquetá,176,2022-02-01
2021-03-06,2021,85,Casanare,224,2022-02-01
2021-03-06,2021,19,Cauca,718,2022-02-01
2021-03-06,2021,20,Cesar,443,2022-02-01
2021-03-06,2021,27,Chocó,327,2022-02-01
2021-03-06,2021,23,Córdoba,1522,2022-02-01
2021-03-06,2021,25,Cundinamarca,828,2022-02-01
2021-03-06,2021,94,Guainía,116,2022-02-01
2021-03-06,2021,95,Guaviare,90,2022-02-01
2021-03-06,2021,41,Huila,723,2022-02-01
2021-03-06,2021,44,La Guajira,158,2022-02-01
2021-03-06,2021,47,Magdalena,484,2022-02-01
2021-03-06,2021,47001,Santa Marta,822,2022-02-01
2021-03-06,2021,50,Meta,439,2022-02-01
2021-03-06,2021,52,Nariño,1123,2022-02-01
2021-03-06,2021,54,Norte de Santander,1106,2022-02-01
2021-03-06,2021,86,Putumayo,143,2022-02-01
2021-03-06,2021,63,Quindío,271,2022-02-01
2021-03-06,2021,66,Risaralda,342,2022-02-01
2021-03-06,2021,68,Santander,1673,2022-02-01
2021-03-06,2021,70,Sucre,606,2022-02-01
2021-03-06,2021,73,Tolima,539,2022-02-01
2021-03-06,2021,76,Valle del Cauca,3798,2022-02-01
2021-03-06,2021,76109,Buenaventura,317,2022-02-01
2021-03-06,2021,97,Vaupés,366,2022-02-01
2021-03-06,2021,99,Vichada,76,2022-02-01
2021-03-07,2021,91,Amazonas,1058,2022-02-01
2021-03-07,2021,5,Antioquia,2027,2022-02-01
2021-03-07,2021,8,Atlántico,90,2022-02-01
2021-03-07,2021,8001,Barranquilla,1141,2022-02-01
2021-03-07,2021,11,Bogotá,8246,2022-02-01
2021-03-07,2021,13,Bolívar,124,2022-02-01
2021-03-07,2021,13001,Cartagena,35,2022-02-01
2021-03-07,2021,15,Boyacá,61,2022-02-01
2021-03-07,2021,17,Caldas,279,2022-02-01
2021-03-07,2021,18,Caquetá,238,2022-02-01
2021-03-07,2021,85,Casanare,441,2022-02-01
2021-03-07,2021,19,Cauca,1275,2022-02-01
2021-03-07,2021,20,Cesar,172,2022-02-01
2021-03-07,2021,27,Chocó,287,2022-02-01
2021-03-07,2021,23,Córdoba,697,2022-02-01
2021-03-07,2021,25,Cundinamarca,56,2022-02-01
2021-03-07,2021,95,Guaviare,96,2022-02-01
2021-03-07,2021,41,Huila,315,2022-02-01
2021-03-07,2021,44,La Guajira,558,2022-02-01
2021-03-07,2021,47,Magdalena,119,2022-02-01
2021-03-07,2021,47001,Santa Marta,740,2022-02-01
2021-03-07,2021,50,Meta,60,2022-02-01
2021-03-07,2021,52,Nariño,508,2022-02-01
2021-03-07,2021,54,Norte de Santander,346,2022-02-01
2021-03-07,2021,86,Putumayo,243,2022-02-01
2021-03-07,2021,63,Quindío,209,2022-02-01
2021-03-07,2021,66,Risaralda,711,2022-02-01
2021-03-07,2021,68,Santander,1249,2022-02-01
2021-03-07,2021,70,Sucre,268,2022-02-01
2021-03-07,2021,73,Tolima,926,2022-02-01
2021-03-07,2021,76,Valle del Cauca,1223,2022-02-01
2021-03-07,2021,76109,Buenaventura,99,2022-02-01
2021-03-07,2021,97,Vaupés,289,2022-02-01
2021-03-08,2021,91,Amazonas,1299,2022-02-01
2021-03-08,2021,5,Antioquia,3802,2022-02-01
2021-03-08,2021,81,Arauca,76,2022-02-01
2021-03-08,2021,8,Atlántico,210,2022-02-01
2021-03-08,2021,8001,Barranquilla,1842,2022-02-01
2021-03-08,2021,11,Bogotá,5457,2022-02-01
2021-03-08,2021,13,Bolívar,140,2022-02-01
2021-03-08,2021,13001,Cartagena,761,2022-02-01
2021-03-08,2021,15,Boyacá,471,2022-02-01
2021-03-08,2021,17,Caldas,480,2022-02-01
2021-03-08,2021,18,Caquetá,208,2022-02-01
2021-03-08,2021,85,Casanare,320,2022-02-01
2021-03-08,2021,19,Cauca,1279,2022-02-01
2021-03-08,2021,20,Cesar,670,2022-02-01
2021-03-08,2021,27,Chocó,27,2022-02-01
2021-03-08,2021,23,Córdoba,995,2022-02-01
2021-03-08,2021,25,Cundinamarca,6148,2022-02-01
2021-03-08,2021,94,Guainía,155,2022-02-01
2021-03-08,2021,95,Guaviare,73,2022-02-01
2021-03-08,2021,41,Huila,679,2022-02-01
2021-03-08,2021,44,La Guajira,439,2022-02-01
2021-03-08,2021,47,Magdalena,61,2022-02-01
2021-03-08,2021,47001,Santa Marta,30,2022-02-01
2021-03-08,2021,50,Meta,599,2022-02-01
2021-03-08,2021,52,Nariño,1457,2022-02-01
2021-03-08,2021,54,Norte de Santander,945,2022-02-01
2021-03-08,2021,86,Putumayo,184,2022-02-01
2021-03-08,2021,63,Quindío,396,2022-02-01
2021-03-08,2021,66,Risaralda,697,2022-02-01
2021-03-08,2021,88,San Andrés y Providencia,96,2022-02-01
2021-03-08,2021,68,Santander,1521,2022-02-01
2021-03-08,2021,70,Sucre,236,2022-02-01
2021-03-08,2021,73,Tolima,635,2022-02-01
2021-03-08,2021,76,Valle del Cauca,1774,2022-02-01
2021-03-08,2021,76109,Buenaventura,87,2022-02-01
2021-03-08,2021,97,Vaupés,318,2022-02-01
2021-03-08,2021,99,Vichada,22,2022-02-01
2021-03-09,2021,91,Amazonas,1215,2022-02-01
2021-03-09,2021,5,Antioquia,7358,2022-02-01
2021-03-09,2021,81,Arauca,49,2022-02-01
2021-03-09,2021,8,Atlántico,1845,2022-02-01
2021-03-09,2021,8001,Barranquilla,2037,2022-02-01
2021-03-09,2021,11,Bogotá,20183,2022-02-01
2021-03-09,2021,13,Bolívar,45,2022-02-01
2021-03-09,2021,13001,Cartagena,1612,2022-02-01
2021-03-09,2021,15,Boyacá,1191,2022-02-01
2021-03-09,2021,17,Caldas,672,2022-02-01
2021-03-09,2021,18,Caquetá,273,2022-02-01
2021-03-09,2021,85,Casanare,623,2022-02-01
2021-03-09,2021,19,Cauca,343,2022-02-01
2021-03-09,2021,20,Cesar,1003,2022-02-01
2021-03-09,2021,27,Chocó,9,2022-02-01
2021-03-09,2021,23,Córdoba,1290,2022-02-01
2021-03-09,2021,25,Cundinamarca,7458,2022-02-01
2021-03-09,2021,94,Guainía,318,2022-02-01
2021-03-09,2021,95,Guaviare,100,2022-02-01
2021-03-09,2021,41,Huila,574,2022-02-01
2021-03-09,2021,44,La Guajira,450,2022-02-01
2021-03-09,2021,47,Magdalena,351,2022-02-01
2021-03-09,2021,47001,Santa Marta,983,2022-02-01
2021-03-09,2021,50,Meta,624,2022-02-01
2021-03-09,2021,52,Nariño,1095,2022-02-01
2021-03-09,2021,54,Norte de Santander,1609,2022-02-01
2021-03-09,2021,86,Putumayo,88,2022-02-01
